La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
0.013085282,0.009818496,0.008594922,0.006582018,0.00392143,0.00542248,0.003647569,0.005311365,0.008549712,0.013564429,0.02111069,0.030056905,0.042740496,0.054389256
0.001985664,0.001912846,0.001698455,0.00160419,0.001299974,0.002730402,0.002508242,0.004847882,0.00860994,0.015224169,0.024931404,0.037656768,0.054546695,0.071122524
0.004772589,0.00388257,0.003152625,0.001764163,0.000933856,0.005772759,0.001265581,0.00237823,0.004487226,0.007652883,0.013263109,0.019884247,0.031619268,0.044016319
0.005555556,0.00519403,0.004724409,0.00384,0.00270936,0.001948052,0.002022059,0.002020202,0.002225519,0.004026846,0.007077626,0.013235294,0.020861678,0.032592593
0.003240741,0.003283582,0.003149606,0.00352,0.00320197,0.001948052,0.002205882,0.002020202,0.003115727,0.006040268,0.010958904,0.017647059,0.027437642,0.04
0.00308642,0.002925373,0.002755906,0.0028,0.00320197,0.001948052,0.001838235,0.002020202,0.002967359,0.004697987,0.009360731,0.014705882,0.024489796,0.035555556
0.003549383,0.003044776,0.002362205,0.00184,0.001477833,0.000649351,0.000919118,0.001010101,0.001632047,0.004026846,0.008675799,0.016176471,0.02675737,0.04
0.017746914,0.020716418,0.022440945,0.02752,0.054679803,0.075324675,0.108455882,0.162626263,0.210089021,0.232885906,0.27283105,0.327941176,0.421768707,0.517037037
0.002006173,0.00161194,0.001181102,0.00112,0.000738916,0.000649351,0.000551471,0.001010101,0.001038576,0.002684564,0.006164384,0.011764706,0.020181406,0.032592593
0.01712963,0.013791045,0.011811024,0.01088,0.00862069,0.007792208,0.007536765,0.009090909,0.01231454,0.016107383,0.023744292,0.029411765,0.041043084,0.053333333
0.003549383,0.002328358,0.001574803,0.00128,0.001231527,0.000649351,0.001286765,0.002020202,0.002670623,0.004697987,0.007990868,0.014705882,0.024943311,0.038518519
0.00308642,0.002985075,0.002755906,0.00256,0.002955665,0.003246753,0.004595588,0.006060606,0.008753709,0.012080537,0.017123288,0.023529412,0.033333333,0.044444444
0.002623457,0.002447761,0.001968504,0.00136,0.000738916,0.000649351,0.000735294,0.001010101,0.001186944,0.003355705,0.006164384,0.013235294,0.021995465,0.034074074
0.000925926,0.000895522,0.000787402,0.00064,0.000738916,0.000649351,0.000919118,0.001010101,0.001335312,0.002013423,0.003424658,0.005882353,0.010657596,0.017777778
0.010339506,0.008298507,0.006692913,0.00616,0.004187192,0.003896104,0.003492647,0.003030303,0.002967359,0.004026846,0.005707763,0.010294118,0.018367347,0.02962963
0.001851852,0.001671642,0.001181102,0.00088,0.000985222,0.000649351,0.000367647,0.001010101,0.001928783,0.004026846,0.007534247,0.013235294,0.019047619,0.02962963
0.015432099,0.014149254,0.009448819,0.00864,0.004679803,0.003246753,0.003860294,0.003030303,0.003115727,0.004026846,0.006164384,0.010294118,0.016326531,0.025185185
0.011111111,0.004477612,0.002362205,0.00192,0.001231527,0.001298701,0.000919118,0.001010101,0.000890208,0.001342282,0.003196347,0.005882353,0.013151927,0.023703704
0.027623457,0.022208955,0.017322835,0.01448,0.010098522,0.008441558,0.007904412,0.008080808,0.008902077,0.012080537,0.016894977,0.020588235,0.031292517,0.042962963
0.019753086,0.00238806,0.007874016,0.01272,0.047044335,0.063636364,0.110845588,0.158585859,0.194807122,0.224161074,0.249086758,0.286764706,0.304988662,0.342222222
0.045833333,0.023761194,0.031889764,0.0412,0.074876847,0.083766234,0.105330882,0.123232323,0.133827893,0.138255034,0.149771689,0.161764706,0.177324263,0.195555556
0.035698295,0.039531253,0.017356306,0.015703882,0.014723727,0.005381135,0.008446084,0.00887849,0.015551772,0.017968309,0.022753981,0.030269291,0.046000314,0.064063758
0.037795662,0.033806068,0.017148128,0.012476505,0.017444951,0.027402392,0.015927311,0.017730426,0.010133283,0.011653419,0.01526894,0.026626758,0.035769536,0.045948167
0.108046262,0.055478344,0.026530222,0.020089476,0.007819495,0.011710358,0.009484989,0.01004275,0.005328759,0.006207827,0.01005179,0.012976628,0.024475841,0.044268317
0.026201477,0.023317519,0.010810901,0.006030446,0.014517718,0.014471716,0.005795332,0.008498538,0.007576031,0.008475473,0.009005351,0.012980323,0.020682538,0.034780163
0.013425926,0.014507463,0.015354331,0.0148,0.011083744,0.012337662,0.009926471,0.011111111,0.011275964,0.011409396,0.013013699,0.016176471,0.021995465,0.026666667
0.331799706,0.262279442,0.169673695,0.110850461,0.081921223,0.049702501,0.04360391,0.044936204,0.04634343,0.041807919,0.056815612,0.052169772,0.067204416,0.082277269
0.035914286,0.036227,0.023084838,0.011147681,0.016431931,0.007207437,0.008666084,0.005317032,0.007469373,0.007602455,0.008034271,0.010630884,0.019693971,0.043530402
0.126080247,0.093791045,0.11023622,0.1112,0.15270936,0.155844156,0.207720588,0.202020202,0.201780415,0.22147651,0.228310502,0.25,0.283446712,0.37037037
0.001182866,0.000705978,0.000595599,0.000152774,0.000241673,0.000376454,0.000573438,0.000514689,0.000871791,0.001806105,0.003153169,0.005641757,0.009259187,0.013597573
0.001194074,0.001510549,0.000474374,0.000677252,0.000615845,0.003894802,0.001132661,0.002200604,0.004614213,0.00918971,0.013940256,0.022580038,0.034593142,0.044487848
0.001196513,0.001266955,0.000357426,0.000362662,0.000250154,0.003447355,0.00078747,0.001068009,0.002306771,0.004595614,0.008161627,0.013257493,0.021450656,0.028688078
0.00453113,0.003215906,0.00334786,0.002101435,0.001145847,0.001183418,0.001590917,0.001499766,0.003278937,0.00655883,0.011254816,0.017147244,0.027620753,0.035949867
0.006792745,0.005811473,0.005872139,0.005832217,0.002604521,0.001904566,0.002541919,0.001948741,0.003319432,0.006448673,0.010717078,0.017063585,0.026457321,0.035720677
0.001929537,0.001784751,0.000790184,0.000697583,0.000205864,0.00224074,0.000453797,0.000516103,0.00102689,0.00203658,0.003022283,0.005057315,0.009170914,0.013652076
0.003089362,0.002131085,0.000966299,0.000929231,0.000763323,0.00145235,0.000858378,0.001223316,0.002760657,0.006695231,0.011951086,0.019468513,0.033028673,0.048281364
0.004813462,0.003572984,0.001739722,0.00117779,0.000886597,0.00114415,0.000819966,0.000656445,0.001037562,0.002682105,0.004515483,0.008644078,0.014523371,0.020600274
0.006899379,0.005994018,0.00432812,0.004784329,0.00325484,0.004420819,0.004081483,0.003759431,0.00522637,0.007790129,0.010322182,0.015794036,0.022844503,0.030084615
