Sample,Al2O3/SiO2,MgO/SiO2
MX23-01,0.01311551,1.067909981
MX23-04,0.014405362,0.979121081
MX23-06,0.018538709,0.933167381
MX23-11,0.014468344,1.067359294
MX23-12A-1,0.008998594,1.090736558
MX23-12A-2,0.011313678,1.022233896
MX23-12B-1,0.00985671,1.113928822
MX23-15C,0.008740623,1.101310959
MX23-17,0.009362859,1.103423735
MX23-18,0.007040965,1.134182807
MX23-20,0.009255936,1.077625351
MX23-26,0.004697357,0.946050639
MX23-27,0.010625947,0.97678329
MX23-28,0.009261197,0.994969668
MX16-10,0.009560229,1.092415551
MX16-11A,0.008481532,1.040218878
MX16-13A,0.010133333,0.953333333
MX16-02,0.017992904,0.943993918
MX16-01A,0.012442059,0.837277385
